Ранг задачи (r),T1,Tn,Количество этапов (n),Коэффициент ускорения K(r),Эффективность e(r)
177,1062,182,6,5.83516,0.97253
178,1068,183,6,5.83607,0.97268
179,1074,184,6,5.83696,0.97283
180,1080,185,6,5.83784,0.97297
181,1086,186,6,5.83871,0.97312
182,1092,187,6,5.83957,0.97326
183,1098,188,6,5.84043,0.9734
184,1104,189,6,5.84127,0.97354
185,1110,190,6,5.84211,0.97369
186,1116,191,6,5.84293,0.97382
187,1122,192,6,5.84375,0.97396
188,1128,193,6,5.84456,0.97409
189,1134,194,6,5.84536,0.97423
190,1140,195,6,5.84615,0.97436
191,1146,196,6,5.84694,0.97449
192,1152,197,6,5.84772,0.97462
193,1158,198,6,5.84848,0.97475
194,1164,199,6,5.84925,0.97487
195,1170,200,6,5.85,0.975
196,1176,201,6,5.85075,0.97512
197,1182,202,6,5.85149,0.97525
198,1188,203,6,5.85222,0.97537
199,1194,204,6,5.85294,0.97549
